Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo,Arquivos Null,Relação Arquivos Mesmo / Total de Arquivos
169d2a4a78776ddaa4fec774691a3c5f03aa3eda,1,122,38,7,0,less/mixins/list-group.less,Mark Otto,Chris Rebert;less/jumbotron.less,Mark Otto,Chris Rebert;docs/_includes/css/helpers.html,Mark Otto,Chris Rebert;docs/examples/navbar/index.html,Chris Rebert,Patrick H. Lauke;docs/_includes/components/input-groups.html,Mark Otto,Patrick H. Lauke;js/tests/unit/popover.js,Mark Otto,Chris Rebert;docs/_includes/getting-started/third-party-support.html,Mark Otto,Chris Rebert;less/mixins/grid-framework.less,Mark Otto,Chris Rebert;docs/_includes/css/tables.html,Mark Otto,Chris Rebert;docs/_includes/js/buttons.html,Mark Otto,Chris Rebert;docs/about.html,Mark Otto,Chris Rebert;docs/assets/js/customize.min.js,Mark Otto,Julian Thilo;docs/_includes/js/tabs.html,Mark Otto,Patrick H. Lauke;docs/_includes/nav/javascript.html,Mark Otto,Chris Rebert;docs/_includes/js/carousel.html,Mark Otto,Chris Rebert;less/list-group.less,Mark Otto,Chris Rebert;docs/examples/theme/index.html,Mark Otto,Patrick H. Lauke;less/print.less,Mark Otto,Chris Rebert;docs/assets/js/src/application.js,Mark Otto,Chris Rebert;docs/_includes/getting-started/community.html,Mark Otto,Chris Rebert;docs/assets/js/vendor/jszip.min.js,Mark Otto,Chris Rebert;docs/customize.html,Mark Otto,Chris Rebert;docs/_includes/customizer-variables.html,Mark Otto,Chris Rebert;docs/_includes/components/list-group.html,Mark Otto,Chris Rebert;docs/assets/js/vendor/uglify.min.js,Mark Otto,Patrick H. Lauke;less/buttons.less,Mark Otto,Chris Rebert;docs/assets/js/vendor/Blob.js,Mark Otto,Chris Rebert;less/popovers.less,Mark Otto,Chris Rebert;docs/assets/js/ie8-responsive-file-warning.js,Mark Otto,Chris Rebert;less/mixins/pagination.less,Mark Otto,Chris Rebert;less/scaffolding.less,Mark Otto,Chris Rebert;docs/examples/non-responsive/non-responsive.css,Mark Otto,Chris Rebert;docs/_includes/components/button-groups.html,Mark Otto,Patrick H. Lauke;docs/_includes/js/popovers.html,Mark Otto,Chris Rebert;docs/_includes/js/scrollspy.html,Chris Rebert,Patrick H. Lauke;js/affix.js,fat,Mark Otto;less/mixins.less,Mark Otto,Chris Rebert;docs/_includes/js/affix.html,Mark Otto,Chris Rebert;less/tooltip.less,Mark Otto,Chris Rebert;docs/_includes/getting-started/browser-device-support.html,Mark Otto,Chris Rebert;docs/examples/navbar-fixed-top/index.html,Mark Otto,Patrick H. Lauke;js/tests/unit/tooltip.js,Mark Otto,Chris Rebert;docs/examples/non-responsive/index.html,Mark Otto,Patrick H. Lauke;docs/_includes/js/modal.html,Mark Otto,Patrick H. Lauke;less/mixins/hide-text.less,Mark Otto,Patrick H. Lauke;docs/_includes/getting-started/whats-included.html,Mark Otto,Chris Rebert;_config.yml,Chris Rebert,Mark Otto;less/badges.less,Mark Otto,Chris Rebert;docs/browser-bugs.html,Mark Otto,Chris Rebert;docs/_includes/getting-started/download.html,Mark Otto,Chris Rebert;less/mixins/grid.less,Mark Otto,Chris Rebert;docs/_includes/css/forms.html,Mark Otto,Chris Rebert;js/tests/visual/scrollspy.html,Mark Otto,Patrick H. Lauke;grunt/bs-lessdoc-parser.js,Mark Otto,Chris Rebert;docs/assets/js/vendor/FileSaver.js,Mark Otto,Chris Rebert;docs/_includes/components/button-dropdowns.html,Mark Otto,Patrick H. Lauke;docs/_includes/components/navs.html,Mark Otto,Patrick H. Lauke;less/panels.less,Mark Otto,Chris Rebert;README.md,Chris Rebert,Mark Otto;docs/_includes/getting-started/template.html,Mark Otto,Chris Rebert;docs/_includes/components/dropdowns.html,Mark Otto,Patrick H. Lauke;docs/examples/navbar-static-top/index.html,Mark Otto,Patrick H. Lauke;less/forms.less,Mark Otto,Chris Rebert;docs/assets/css/src/docs.css,Chris Rebert,Patrick H. Lauke;grunt/bs-raw-files-generator.js,Mark Otto,Chris Rebert;Gruntfile.js,Mark Otto,Patrick H. Lauke;less/variables.less,Mark Otto,Chris Rebert;docs/_includes/js/tooltips.html,Mark Otto,Chris Rebert;docs/_includes/components/navbar.html,Mark Otto,Patrick H. Lauke;docs/_includes/getting-started/grunt.html,Mark Otto,Chris Rebert;js/tests/visual/dropdown.html,Mark Otto,Patrick H. Lauke;docs/_includes/js/dropdowns.html,Mark Otto,Patrick H. Lauke;docs/assets/js/vendor/autoprefixer.js,Mark Otto,Chris Rebert;docs/examples/carousel/index.html,Mark Otto,Patrick H. Lauke;docs/examples/sticky-footer-navbar/index.html,Chris Rebert,Patrick H. Lauke;js/tests/visual/tab.html,Mark Otto,Patrick H. Lauke;docs/_includes/nav/components.html,Mark Otto,Chris Rebert;
663576a7ae77fb3f6143ce59ea16511cdaf8e9c3,0,3,0,0,0,
82279a8eb28fcddf24ecdf524686583e408b5191,0,5,0,0,0,
0ab1576ae227663d9e97040a486e1ca2818bab1e,1,8,6,2,0,
510f56f334087b28581d4a8d02c92eebc693a92b,1,2,1,1,0,
58082cd83e9244fa05f316b4ba4102891ff5b0aa,1,83,74,5,0,dist/css/bootstrap.css,Mark Otto,Bootstrap's Grunt bot;docs/dist/css/bootstrap.css,Mark Otto,Bootstrap's Grunt bot;docs/dist/css/bootstrap.min.css,Mark Otto,Bootstrap's Grunt bot;dist/css/bootstrap.min.css,Mark Otto,Bootstrap's Grunt bot;
57c8e3cd51abcb4230d37863b40bcca564d033f4,0,2,0,0,0,
c16fee5efd5620197ab1213ca3699830d590ee39,1,95,25,5,0,docs/_includes/components/labels.html,Chris Rebert,Mark Otto;docs/_includes/components/wells.html,Chris Rebert,Mark Otto;docs/_includes/js/transitions.html,Chris Rebert,Mark Otto;js/tests/unit/tooltip.js,F A T,Patrick H. Lauke;docs/_includes/components/progress-bars.html,Chris Rebert,Mark Otto;less/glyphicons.less,Chris Rebert,Heinrich Fenkart;docs/_includes/css/helpers.html,Chris Rebert,Mark Otto;docs/examples/non-responsive/index.html,Chris Rebert,Patrick H. Lauke;docs/_includes/components/thumbnails.html,Chris Rebert,Mark Otto;docs/_includes/js/modal.html,Chris Rebert,Mark Otto;js/tests/unit/button.js,F A T,Patrick H. Lauke;docs/_includes/js/collapse.html,Chris Rebert,Heinrich Fenkart;js/modal.js,F A T,Patrick H. Lauke;dist/css/bootstrap.css,Chris Rebert,Mark Otto;less/badges.less,Chris Rebert,Heinrich Fenkart;test-infra/npm-shrinkwrap.json,Chris Rebert,Mark Otto;dist/js/bootstrap.js,F A T,Patrick H. Lauke;docs/_includes/js/alerts.html,Chris Rebert,Heinrich Fenkart;docs/dist/css/bootstrap.css,Chris Rebert,Patrick H. Lauke;js/tests/unit/carousel.js,F A T,Patrick H. Lauke;js/dropdown.js,F A T,Patrick H. Lauke;docs/_includes/css/forms.html,Chris Rebert,Patrick H. Lauke;docs/assets/js/customize.min.js,Chris Rebert,Patrick H. Lauke;docs/_includes/js/tabs.html,Chris Rebert,Heinrich Fenkart;docs/dist/js/bootstrap.min.js,Chris Rebert,Patrick H. Lauke;docs/_includes/nav/javascript.html,Chris Rebert,Mark Otto;js/scrollspy.js,F A T,Mark Otto;docs/_includes/components/button-dropdowns.html,Chris Rebert,Mark Otto;docs/_includes/components/navs.html,Chris Rebert,Heinrich Fenkart;docs/assets/js/docs.min.js,Chris Rebert,Heinrich Fenkart;js/tests/unit/affix.js,F A T,Patrick H. Lauke;docs/_data/glyphicons.yml,Chris Rebert,Heinrich Fenkart;js/collapse.js,F A T,Patrick H. Lauke;js/tooltip.js,F A T,Patrick H. Lauke;docs/_includes/components/dropdowns.html,Chris Rebert,Mark Otto;js/carousel.js,F A T,Patrick H. Lauke;docs/_includes/css/less.html,Chris Rebert,Mark Otto;dist/js/bootstrap.min.js,F A T,Patrick H. Lauke;docs/_includes/getting-started/community.html,Chris Rebert,Mark Otto;docs/dist/css/bootstrap.min.css,Chris Rebert,Patrick H. Lauke;docs/_includes/js/overview.html,Chris Rebert,Mark Otto;grunt/configBridge.json,Chris Rebert,Heinrich Fenkart;docs/_includes/components/panels.html,Chris Rebert,Mark Otto;Gruntfile.js,Chris Rebert,Heinrich Fenkart;docs/_includes/components/list-group.html,Chris Rebert,Mark Otto;docs/assets/js/raw-files.min.js,Chris Rebert,Patrick H. Lauke;less/type.less,Chris Rebert,Patrick H. Lauke;docs/_includes/css/buttons.html,Chris Rebert,Heinrich Fenkart;docs/_includes/header.html,Chris Rebert,Heinrich Fenkart;docs/_includes/js/dropdowns.html,Chris Rebert,Heinrich Fenkart;js/tests/unit/modal.js,F A T,Patrick H. Lauke;docs/examples/non-responsive/non-responsive.css,Chris Rebert,Heinrich Fenkart;docs/_includes/components/button-groups.html,Chris Rebert,Mark Otto;docs/_includes/getting-started/examples.html,Chris Rebert,Mark Otto;docs/_includes/components/breadcrumbs.html,Chris Rebert,Heinrich Fenkart;docs/_includes/components/media.html,Chris Rebert,Mark Otto;js/tab.js,F A T,Heinrich Fenkart;bower.json,Chris Rebert,Heinrich Fenkart;docs/_includes/js/scrollspy.html,Chris Rebert,Mark Otto;js/affix.js,F A T,Patrick H. Lauke;js/popover.js,F A T,Patrick H. Lauke;package.json,Chris Rebert,Mark Otto;dist/css/bootstrap.min.css,Chris Rebert,Patrick H. Lauke;docs/_includes/getting-started/accessibility.html,Chris Rebert,Mark Otto;docs/_includes/js/affix.html,Chris Rebert,Mark Otto;
a3890a72cfce45265028413b2e6677b968bdc6a5,1,1,0,0,0,docs/assets/css/docs.min.css,XhmikosR,Mark Otto;
9238337cbbad3bc45fa036f5f1ed63dec86d2968,1,9,0,0,0,less/alerts.less,Mark Otto,Chris Rebert;grunt/bs-lessdoc-parser.js,Mark Otto,Chris Rebert;less/badges.less,Mark Otto,Chris Rebert;package.json,Mark Otto,Chris Rebert;less/jumbotron.less,Mark Otto,Chris Rebert;docs/_includes/nav/getting-started.html,Mark Otto,Chris Rebert;dist/css/bootstrap.css.map,Mark Otto,Chris Rebert;docs/_includes/getting-started/browser-device-support.html,Mark Otto,Chris Rebert;js/tests/unit/carousel.js,Mark Otto,Chris Rebert;
