Hash do merge,Data do merge,Tempo de isolamento [ramos],Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Diferentes desenvolvedores,Mesmos desenvolvedores,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
6d5b000a81abeae1240b8b6ae8c204d77895672c,2013-12-23 21:07:08 +0000,57.7371644,57.7789815,3,28,31,3,1,6,72,3,42,1,NAO,0,0
3592974fc0eee98ebfde3c3d52dd5943cc5f63bd,2013-12-20 19:21:58 -0800,1.7934144,3.3855324,1,1,2,0,0,1,6,1,2,0,NAO,0,0
fbc26d66e1b8f3262d68794177ed1fdb6f0d32eb,2013-12-17 10:06:48 -0800,2.0351852,5.0070718,2,2,4,2,2,3,2,2,3,1,NAO,0,0
f5d982d012d81580a47118dc481cdc274dcb7db7,2013-12-12 09:56:37 -0800,0.0575694,0.8771181,1,1,2,0,0,1,1,1,1,0,NAO,0,0
a6c7bcdbf59c1a2dee0f5cb0f9aa846bc11865a4,2013-12-12 09:56:05 -0800,0.0186574,0.9839005,1,1,2,0,0,1,1,2,1,0,NAO,0,0
1b3becf269f9bca315aea4df65b782917bd4da96,2013-12-11 12:53:34 -0800,0.0073727,0.1084606,1,1,2,1,2,2,1,2,2,1,NAO,0,0
b9c034a61e4a6603c52ba150d51cc45ea5b6216d,2013-12-11 10:19:16 -0800,13.1822222,14.8709028,10,1,11,1,1,18,2,15,2,1,NAO,0,0
6961dee0ab40c1e9992c94fb8f936561a1821036,2013-12-11 10:17:23 -0800,12.8119213,14.8695949,10,1,11,1,1,16,2,14,2,1,NAO,0,0
f43d6c35b7f8579dfaba81b849b70b1ff355478f,2013-12-10 22:37:49 -0800,30.0046181,34.5116204,0,17,17,0,0,0,34,0,23,0,NAO,0,0
9e18bb117cb579a08b4d02bc741997fe9c0adf76,2013-12-05 08:08:03 -0800,7.2842361,8.0616204,0,1,1,0,0,0,1,0,1,0,NAO,0,0
d2774967f7ceaffde9a830381d70901435725058,2013-12-04 00:30:54 -0800,0.2146991,2.0345023,1,1,2,0,0,2,1,2,1,1,NAO,0,0
00855b55fc0b1f72a96b6ea9d5c7581acb170593,2013-12-03 10:31:14 -0800,14.2178472,19.9037731,12,1,13,1,1,23,2,16,2,1,NAO,0,0
748038fa71d93a4abf10e243182a24c4c0a41bca,2013-11-26 13:25:10 -0800,1.8094213,3.0433565,2,1,3,1,1,5,1,4,1,1,NAO,0,0
19a1ceb9ddf0eddd6b65df560d3c0e9ed3fe46ff,2013-11-26 13:23:37 -0800,1.0881481,3.0422801,1,1,2,0,0,3,2,3,2,1,NAO,0,0
8a1053d2201f4ea3cc30c22d4923544a150567fc,2013-11-23 12:22:44 -0800,1.6398380,3.1907755,4,1,5,0,0,6,3,5,2,0,NAO,0,0
806931e5460a724bd590f18f46f278390e9fce79,2013-11-22 10:23:08 -0800,13.0082986,16.0014236,6,1,7,1,1,7,1,6,1,1,NAO,0,0
