Hash do merge,Data do merge,Intersecção de Desenvolvedores,Mesmos desenvolvedores,Diferentes desenvolvedores
7883f25e1de3556fd7f9ee3ac00b523dcde728ab,2013-07-27 00:30:23 -0700,1,1,0
ec4a1bdd1222230fb87b8eea2e0ede3fa151ddc8,2013-07-27 00:06:44 -0700,0,0,1
1d7d55354597d8cebad612e4f61a79b506231330,2013-07-26 23:57:32 -0700,1,1,0
5b83c5ca6370fed0bae980e192f80a24975b11ef,2013-07-23 09:12:24 -0700,1,1,0
ae34b8100eb925832c7c0bc729ba0485de77bde6,2013-07-20 14:18:48 -0700,0,0,1
1288edbae963daf5f5487242e925c8054856313c,2013-07-18 09:31:45 -0700,0,0,1
cc58cf6fba781b1ef30f4f21b34baddde4e08b64,2013-07-07 12:12:39 -0700,0,0,1
d4c70eb1400b3f87e0aa75895100baa23f92bb76,2013-07-07 11:11:48 -0700,1,1,0
ecd0a503941538ac5a834ae18f300b839bacae5f,2013-07-02 10:49:52 -0700,2,1,0
1ccf6b9e98161c4e1a603ac28712c9d0aeb77e46,2013-06-27 12:06:52 -0700,0,0,1
68ce25eb2d332ca7065e6e75628f6ac5cc9367d6,2013-06-24 08:54:05 -0700,0,0,1
fdc988184f761a610f49747c7cdae513cf4df328,2013-06-24 08:16:10 -0700,0,0,1
c3a68bb93c990deacf9ce80a2f50a38a5fde7ae0,2013-06-23 12:45:22 +0300,0,0,8
fbba084bafbf2efd07e4465062c0853f7953630f,2013-06-22 20:41:27 -0700,0,0,1
fb05577991e8a95f5011258c221abc99648f92ea,2013-06-20 10:13:39 -0700,0,0,1
fa26e8017f312179d23e244570bde67c5accd7ac,2013-06-18 16:36:40 -0700,0,0,1
79b9f5d08b9e8f384ed56df2e82f0c7c510f66e4,2013-06-18 16:35:33 -0700,0,0,1
0ef623c39ea8499e48e0c155d3edb5f800a2666f,2013-06-18 15:41:19 -0700,0,0,1
75a6ee112f6a1864018cb9ef7242bd524bb4a232,2013-06-10 09:50:19 -0700,1,1,0
d94e3747fc77b212e5f534443c5f9456bd2495e2,2013-06-05 02:20:10 -0700,0,0,1
d126d0d8e589bf89937c6079e4867a53066fa040,2013-06-03 10:28:02 -0700,0,0,1
bfc89ad4c03752c530f8480ce4a363999ca9f4b2,2013-06-03 10:26:46 -0700,1,1,0
cab7d36e3f193b794e96e6048386c94f4dbd979e,2013-06-03 10:18:58 -0700,1,1,1
74d5ca2bd78b5e0a9cd4cb2a37ab4d7ee118631d,2013-06-03 09:43:46 -0700,0,0,1
31fb450d23fc4b35a5c7159d0aed8af431ecf11d,2013-05-28 17:29:26 -0700,1,1,0
33e225c619ba16abbf9fa98806324f0d9f3491f8,2013-05-23 09:08:14 -0700,1,1,4
90ec201d2d8c420f650c8bf871744421a911174a,2013-05-22 22:18:19 -0700,0,0,1
d48d9c3aeb37107a0192d5d4e791a0db1c9d7e1c,2013-05-22 21:03:29 -0700,2,1,0
